GO_term	Sampletype	Avg_met	Avg_exp
ceramide.biosynthetic.process	sample_BA_veg	0.25421822272216	8.47236249492567
ceramide.biosynthetic.process	sample_BA_sex	0.25072803399575	8.57253041249229
ceramide.biosynthetic.process	sample_sa_veg	0.237664041994751	8.47306423485477
ceramide.biosynthetic.process	sample_sa_sex	0.253840144981877	8.50168760810999
endoplasmic.reticulum	sample_BA_veg	0.222708166589429	10.259579470679
endoplasmic.reticulum	sample_BA_sex	0.22995141383247	9.88292573969815
endoplasmic.reticulum	sample_sa_veg	0.224198851055289	10.2899572868767
endoplasmic.reticulum	sample_sa_sex	0.236921344906597	9.92013872931359
sphingosine.N.acyltransferase.activity	sample_BA_veg	0.237007874015748	8.87713735919
sphingosine.N.acyltransferase.activity	sample_BA_sex	0.216535433070866	9.0250034663675
sphingosine.N.acyltransferase.activity	sample_sa_veg	0.208661417322835	8.94299286011173
sphingosine.N.acyltransferase.activity	sample_sa_sex	0.232283464566929	8.98125302853313
DNA.catabolic.process	sample_BA_veg	0.293212669683258	9.23270531559415
DNA.catabolic.process	sample_BA_sex	0.285972850678733	8.65363418291667
DNA.catabolic.process	sample_sa_veg	0.285972850678733	9.28253213574456
DNA.catabolic.process	sample_sa_sex	0.272398190045249	8.64608503176591
RNA.catabolic.process	sample_BA_veg	0.293212669683258	9.23270531559415
RNA.catabolic.process	sample_BA_sex	0.285972850678733	8.65363418291667
RNA.catabolic.process	sample_sa_veg	0.285972850678733	9.28253213574456
RNA.catabolic.process	sample_sa_sex	0.272398190045249	8.64608503176591
apoptosis	sample_BA_veg	0.293212669683258	9.23270531559415
apoptosis	sample_BA_sex	0.285972850678733	8.65363418291667
apoptosis	sample_sa_veg	0.285972850678733	9.28253213574456
apoptosis	sample_sa_sex	0.272398190045249	8.64608503176591
nucleus	sample_BA_veg	0.222434041633092	10.2229343468066
nucleus	sample_BA_sex	0.230754651824293	9.94842549185297
nucleus	sample_sa_veg	0.222420462706346	10.2092308161941
nucleus	sample_sa_sex	0.237717539265781	9.93974588663555
mitochondrion	sample_BA_veg	0.222448868777067	10.6350515762696
mitochondrion	sample_BA_sex	0.233408323485086	10.1916831953115
mitochondrion	sample_sa_veg	0.224101577255274	10.5866840034958
mitochondrion	sample_sa_sex	0.240018121377017	10.1730222483886
mitochondrial.inner.membrane	sample_BA_veg	0.234553941614464	10.4411171477101
mitochondrial.inner.membrane	sample_BA_sex	0.237878940219906	10.0607173334841
mitochondrial.inner.membrane	sample_sa_veg	0.229171047507898	10.4306527713065
mitochondrial.inner.membrane	sample_sa_sex	0.246891719789392	10.0377232650738
endodeoxyribonuclease.activity	sample_BA_veg	0.293212669683258	9.23270531559415
endodeoxyribonuclease.activity	sample_BA_sex	0.285972850678733	8.65363418291667
endodeoxyribonuclease.activity	sample_sa_veg	0.285972850678733	9.28253213574456
endodeoxyribonuclease.activity	sample_sa_sex	0.272398190045249	8.64608503176591
exodeoxyribonuclease.activity	sample_BA_veg	0.293212669683258	9.23270531559415
exodeoxyribonuclease.activity	sample_BA_sex	0.285972850678733	8.65363418291667
exodeoxyribonuclease.activity	sample_sa_veg	0.285972850678733	9.28253213574456
exodeoxyribonuclease.activity	sample_sa_sex	0.272398190045249	8.64608503176591
ribonuclease.activity	sample_BA_veg	0.293212669683258	9.23270531559415
ribonuclease.activity	sample_BA_sex	0.285972850678733	8.65363418291667
ribonuclease.activity	sample_sa_veg	0.285972850678733	9.28253213574456
ribonuclease.activity	sample_sa_sex	0.272398190045249	8.64608503176591
sporocarp.development.involved.in.sexual.reproduction	sample_BA_veg	NA	9.36688917257922
sporocarp.development.involved.in.sexual.reproduction	sample_BA_sex	NA	9.42819889459678
sporocarp.development.involved.in.sexual.reproduction	sample_sa_veg	NA	9.38113587984033
sporocarp.development.involved.in.sexual.reproduction	sample_sa_sex	NA	9.46462357611807
response.to.pheromone	sample_BA_veg	0.222727272727273	10.037133157826
response.to.pheromone	sample_BA_sex	0.25	10.2428919774086
response.to.pheromone	sample_sa_veg	0.224242424242424	10.001211264995
response.to.pheromone	sample_sa_sex	0.245454545454545	10.3695882841627
regulation.of.cAMP.metabolic.process	sample_BA_veg	0.218308080808081	10.089651368891
regulation.of.cAMP.metabolic.process	sample_BA_sex	0.222685185185185	10.3524540203593
regulation.of.cAMP.metabolic.process	sample_sa_veg	0.201010101010101	10.0823973483441
regulation.of.cAMP.metabolic.process	sample_sa_sex	0.229671717171717	10.4312315656444
heterotrimeric.G.protein.complex	sample_BA_veg	0.215449134199134	9.83298932651233
heterotrimeric.G.protein.complex	sample_BA_sex	0.217588083213083	10.0608556705096
heterotrimeric.G.protein.complex	sample_sa_veg	0.206141774891775	9.80205680257616
heterotrimeric.G.protein.complex	sample_sa_sex	0.218619227994228	10.0986815696315
G.protein.beta.gamma.subunit.complex	sample_BA_veg	0.224458874458874	10.1826337443827
G.protein.beta.gamma.subunit.complex	sample_BA_sex	0.232440476190476	10.3900352400624
