Sample	GO_term	Avg_corr	std_corr
BA_veg	endoplasmic.reticulum	-0.0423937653001617	0.422723883202038
BA_veg	nucleus	0.0785575621177229	0.475243130650807
BA_veg	mitochondrion	0.0906007405843662	0.445265688418667
BA_veg	mitochondrial.inner.membrane	0.330469698873151	0.494009348782118
BA_veg	sporocarp.development.involved.in.sexual.reproduction	-0.00588951524695731	0.489175082848839
BA_veg	heterotrimeric.G.protein.complex	0.2799281152019	0.237324977907086
BA_veg	DNA.damage.checkpoint	-0.380687380607432	0.421838129560437
BA_veg	DNA.methylation	-0.117714690091592	0.384644644270445
BA_veg	protein.dephosphorylation	0.5077674737162	0.311126428900863
BA_veg	hyphal.growth	-0.0605242093284072	0.470512658958041
BA_veg	regulation.of.circadian.rhythm	0.0539078555638626	0.488928615088928
BA_veg	conidium.formation	-0.094442098302946	0.498140618325161
BA_veg	cytoplasm	0.0886834501530071	0.46737901928466
BA_veg	cytosol	-0.0225461895917507	0.424231644908581
BA_veg	regulation.of.growth.rate	0.0253505382695667	0.528030797207175
BA_veg	translation	0.306242432354539	0.369807467497304
BA_veg	mitochondrial.ribosome	0.336784186758384	0.326992536475707
BA_veg	mitochondrial.large.ribosomal.subunit	0.376915755389663	0.30484997626007
BA_veg	structural.constituent.of.ribosome	0.309020024690206	0.364130803858466
BA_veg	rRNA.processing	0.136386155447289	0.295950279486538
BA_veg	ribosomal.large.subunit.biogenesis	0.0527465573540623	0.320490313916393
BA_veg	nucleolus	0.0790982127755586	0.318509237624004
BA_veg	cytosolic.large.ribosomal.subunit	0.185635054480519	0.423983442583712
BA_veg	response.to.light.stimulus	-0.0178130492771711	0.453200282579003
BA_veg	ribosome	-0.122540574388445	0.221397369771274
BA_veg	DNA.repair	-0.30493412999763	0.370920850505862
BA_veg	protein.binding	0.120416645875028	0.449774633481113
BA_veg	spore.germination	0.0964648546236587	0.443083032214817
BA_veg	mitochondrial.membrane	0.188994607780917	0.450456141801122
BA_veg	response.to.osmotic.stress	-0.0667947771356883	0.446282941139634
BA_veg	response.to.salt.stress	0.0209889247141616	0.611923954542961
BA_veg	ascospore.formation	0.0485517251724399	0.546176207869571
BA_veg	conidiophore.development	-0.219668360022901	0.496779689654181
BA_veg	mitochondrial.intermembrane.space	0.0218627450550029	0.31709771382594
BA_veg	actin.filament.organization	0.220483158431925	0.50073260127153
BA_veg	chromatin.silencing.at.telomere	0.277725004618888	0.446011303843504
BA_veg	nuclear.mRNA.splicing..via.spliceosome	0.108356553036585	0.43953865353024
BA_veg	mitochondrial.outer.membrane	0.0458131674313859	0.433246341754999
BA_veg	cytosolic.small.ribosomal.subunit	0.376141244526422	0.319790217810133
BA_veg	glyoxysome	0.0901840681826577	0.451076480597916
BA_veg	sequence.specific.DNA.binding.transcription.factor.activity	0.255039998792584	0.487417700410374
BA_veg	sequence.specific.DNA.binding	0.15335072196418	0.456205110882476
BA_veg	response.to.oxidative.stress	-0.109854182155553	0.447348779553611
BA_veg	hyphal.cell.wall	-0.322518747004371	0.32162678489887
BA_veg	GTPase.activator.activity	-0.165106823245839	0.458451436235883
BA_veg	ATP.synthesis.coupled.proton.transport	0.322943450389393	0.269261369341763
BA_veg	ATPase.activity	0.0991336418636446	0.472629956395228
BA_veg	hydrogen.ion.transporting.ATP.synthase.activity..rotational.mechanism	0.170575119008833	0.412864149331632
BA_veg	NADH.oxidation	0.154304114231741	0.4002385095589
BA_veg	mitochondrial.respiratory.chain.complex.I	0.177856886202601	0.394669530747308
BA_veg	electron.carrier.activity	0.124204969518264	0.410493098354889
BA_veg	syncytium.formation.by.plasma.membrane.fusion	-0.191672420904199	0.344413517530438
BA_veg	protein.targeting.to.mitochondrion	0.0796360170066834	0.454862747303876
BA_veg	vacuolar.acidification	-0.093528631362774	0.535618329046208
BA_veg	cysteine.biosynthetic.process	0.189865772305476	0.601252184587444
BA_veg	methionine.metabolic.process	-0.187651729572184	0.464497169096665
BA_veg	endocytosis	-0.0176796097630098	0.47513617083135
BA_veg	vesicle.mediated.transport	0.0579053068421851	0.547466870080042
