GO_term	Sample	Met	Expr
ceramide.biosynthetic.process	crassa_BA_veg	0.306772908366534	223.075159509253
ceramide.biosynthetic.process	crassa_BA_veg	0.236734693877551	413.585559017192
ceramide.biosynthetic.process	L1_BA_veg	0.306772908366534	291.040812162527
ceramide.biosynthetic.process	L1_BA_veg	0.236734693877551	483.235381599769
ceramide.biosynthetic.process	L10_BA_veg	0.306772908366534	317.044347679186
ceramide.biosynthetic.process	L10_BA_veg	0.236734693877551	555.598997455572
ceramide.biosynthetic.process	L6_BA_veg	0.306772908366534	234.159357884101
ceramide.biosynthetic.process	L6_BA_veg	0.236734693877551	541.080741934627
ceramide.biosynthetic.process	sito_BA_veg	0.306772908366534	298.865796349409
ceramide.biosynthetic.process	sito_BA_veg	0.236734693877551	338.533846907923
ceramide.biosynthetic.process	crassa_BA_sex	0.306772908366534	315.764442415577
ceramide.biosynthetic.process	crassa_BA_sex	0.236734693877551	619.64930396762
ceramide.biosynthetic.process	L1_BA_sex	0.306772908366534	217.744526247632
ceramide.biosynthetic.process	L1_BA_sex	0.236734693877551	317.246265257002
ceramide.biosynthetic.process	L10_BA_sex	0.306772908366534	384.204616777557
ceramide.biosynthetic.process	L10_BA_sex	0.236734693877551	510.430100276808
ceramide.biosynthetic.process	L6_BA_sex	0.306772908366534	258.043485009946
ceramide.biosynthetic.process	L6_BA_sex	0.236734693877551	662.768674047236
ceramide.biosynthetic.process	sito_BA_sex	0.306772908366534	274.18893321711
ceramide.biosynthetic.process	sito_BA_sex	0.236734693877551	629.514275903695
ceramide.biosynthetic.process	crassa_sa_veg	0.306772908366534	188.129914275431
ceramide.biosynthetic.process	crassa_sa_veg	0.236734693877551	384.138806608834
ceramide.biosynthetic.process	L1_sa_veg	0.306772908366534	263.702836745993
ceramide.biosynthetic.process	L1_sa_veg	0.236734693877551	581.443979330478
ceramide.biosynthetic.process	L10_sa_veg	0.306772908366534	361.037090603872
ceramide.biosynthetic.process	L10_sa_veg	0.236734693877551	634.523743411617
ceramide.biosynthetic.process	L6_sa_veg	0.306772908366534	221.605922123145
ceramide.biosynthetic.process	L6_sa_veg	0.236734693877551	622.033299227358
ceramide.biosynthetic.process	sito_sa_veg	0.306772908366534	307.361645020454
ceramide.biosynthetic.process	sito_sa_veg	0.236734693877551	333.904308556475
ceramide.biosynthetic.process	crassa_sa_sex	0.306772908366534	324.773326457897
ceramide.biosynthetic.process	crassa_sa_sex	0.236734693877551	573.436567774304
ceramide.biosynthetic.process	L1_sa_sex	0.306772908366534	177.052806357765
ceramide.biosynthetic.process	L1_sa_sex	0.236734693877551	304.361123327351
ceramide.biosynthetic.process	L10_sa_sex	0.306772908366534	402.949052304877
ceramide.biosynthetic.process	L10_sa_sex	0.236734693877551	574.482236410877
ceramide.biosynthetic.process	L6_sa_sex	0.306772908366534	199.584299816284
ceramide.biosynthetic.process	L6_sa_sex	0.236734693877551	433.625850831787
ceramide.biosynthetic.process	sito_sa_sex	0.306772908366534	199.403422399066
ceramide.biosynthetic.process	sito_sa_sex	0.236734693877551	513.456497213893
endoplasmic.reticulum	crassa_BA_veg	0.246851385390428	762.82508792973
endoplasmic.reticulum	crassa_BA_veg	0.317972350230415	1851.83187966987
endoplasmic.reticulum	crassa_BA_veg	0.261904761904762	2853.16366459313
endoplasmic.reticulum	crassa_BA_veg	0.331506849315069	1364.11832413997
endoplasmic.reticulum	crassa_BA_veg	0.285714285714286	1820.36947729364
endoplasmic.reticulum	crassa_BA_veg	0.279778393351801	819.993980421043
endoplasmic.reticulum	crassa_BA_veg	0.279329608938547	1613.11752146677
endoplasmic.reticulum	crassa_BA_veg	0.260504201680672	7534.91875874682
endoplasmic.reticulum	crassa_BA_veg	0.239234449760766	125.904973021026
endoplasmic.reticulum	crassa_BA_veg	0.209923664122137	1598.70093319037
endoplasmic.reticulum	crassa_BA_veg	0.293577981651376	1990.65725545857
endoplasmic.reticulum	crassa_BA_veg	0.233463035019455	1089.90668411428
endoplasmic.reticulum	crassa_BA_veg	0.236734693877551	413.585559017192
endoplasmic.reticulum	crassa_BA_veg	0.285285285285285	1423.49790358709
endoplasmic.reticulum	crassa_BA_veg	0.278761061946903	485.475302948009
endoplasmic.reticulum	crassa_BA_veg	0.391836734693878	1642.78066326097
endoplasmic.reticulum	crassa_BA_veg	0.340909090909091	620.404366055646
endoplasmic.reticulum	crassa_BA_veg	0.286219081272085	6168.92278653214
endoplasmic.reticulum	crassa_BA_veg	0.251572327044025	1841.9203341304
endoplasmic.reticulum	crassa_BA_veg	0.295454545454545	591.01098993302
endoplasmic.reticulum	crassa_BA_veg	0.315010570824524	2119.90299563878
endoplasmic.reticulum	L1_BA_veg	0.246851385390428	2135.84239657098
endoplasmic.reticulum	L1_BA_veg	0.317972350230415	2523.13160721582
endoplasmic.reticulum	L1_BA_veg	0.261904761904762	1645.72945717928
